iter	Passed	Remaining
0	197	458081
1	233	271035
2	273	210984
3	298	173027
4	331	153508
5	376	145210
6	406	134263
7	445	128628
8	491	126189
9	535	123742
10	558	117202
11	587	112927
12	617	109507
13	644	106136
14	682	104847
15	720	103636
16	761	103173
17	805	102962
18	848	102692
19	892	102615
20	920	100727
21	962	100508
22	1003	100171
23	1045	99966
24	1083	99444
25	1117	98595
26	1159	98399
27	1198	98041
28	1248	98625
29	1298	99083
30	1346	99357
31	1368	97821
32	1409	97663
33	1449	97400
34	1476	96340
35	1520	96405
36	1567	96689
37	1610	96674
38	1652	96635
39	1695	96594
40	1746	97018
41	1782	96613
42	1823	96492
43	1865	96435
44	1911	96588
45	1947	96226
46	1989	96162
47	2034	96255
48	2085	96623
49	2125	96477
50	2166	96325
51	2210	96376
52	2248	96131
53	2288	95972
54	2327	95793
55	2375	96000
56	2411	95692
57	2443	95234
58	2477	94884
59	2527	95164
60	2568	95086
61	2611	95077
62	2654	95044
63	2695	94982
64	2730	94677
65	2774	94719
66	2821	94843
67	2863	94787
68	2904	94708
69	2947	94685
70	2991	94701
71	3016	94143
72	3064	94279
73	3108	94309
74	3133	93743
75	3172	93627
76	3204	93300
77	3245	93234
78	3284	93119
79	3318	92865
80	3359	92822
81	3379	92186
82	3415	92006
83	3452	91857
84	3492	91792
85	3532	91716
86	3575	91739
87	3619	91752
88	3661	91752
89	3701	91664
90	3737	91504
91	3781	91542
92	3829	91662
93	3859	91346
94	3904	91409
95	3944	91351
96	3989	91386
97	4030	91341
98	4057	90991
99	4094	90847
100	4123	90550
101	4164	90515
102	4205	90475
103	4235	90200
104	4274	90139
105	4314	90069
106	4364	90227
107	4390	89878
108	4418	89584
109	4460	89571
110	4491	89335
111	4510	88872
112	4548	88788
113	4597	88924
114	4636	88853
115	4661	88521
116	4703	88524
117	4745	88507
118	4796	88683
119	4844	88776
120	4876	88583
121	4923	88669
122	4952	88425
123	4995	88432
124	5037	88421
125	5092	88626
126	5148	88862
127	5203	89064
128	5247	89079
129	5290	89091
130	5316	88798
131	5358	88779
132	5381	88444
133	5418	88352
134	5457	88289
135	5475	87888
136	5492	87476
137	5541	87582
138	5583	87575
139	5624	87547
140	5653	87326
141	5702	87423
142	5740	87356
143	5789	87445
144	5828	87380
145	5873	87416
146	5886	86971
147	5928	86964
148	5989	87223
149	6033	87243
150	6088	87413
151	6139	87529
152	6181	87511
153	6221	87468
154	6257	87364
155	6283	87122
156	6320	87037
157	6369	87110
158	6410	87089
159	6453	87081
160	6508	87238
161	6553	87256
162	6599	87291
163	6640	87251
164	6670	87082
165	6713	87074
166	6750	86991
167	6789	86933
168	6818	86748
169	6838	86446
170	6881	86436
171	6921	86394
172	6965	86406
173	7003	86340
174	7049	86360
175	7096	86406
176	7135	86348
177	7172	86277
178	7216	86280
179	7252	86180
180	7291	86128
181	7335	86131
182	7377	86115
183	7417	86069
184	7463	86087
185	7506	86079
186	7521	85751
187	7557	85665
188	7599	85649
189	7620	85395
190	7652	85259
191	7676	85044
192	7723	85078
193	7765	85062
194	7809	85066
195	7852	85056
196	7891	85001
197	7931	84967
198	7984	85062
199	8031	85090
200	8077	85111
201	8118	85084
202	8159	85046
203	8207	85092
204	8253	85116
205	8278	84917
206	8318	84872
207	8345	84700
208	8389	84697
209	8428	84649
210	8466	84580
211	8489	84372
212	8535	84390
213	8575	84354
214	8613	84288
215	8651	84234
216	8691	84187
217	8728	84123
218	8758	83987
219	8786	83828
220	8827	83798
221	8864	83732
222	8908	83731
223	8949	83699
224	8986	83638
225	9027	83603
226	9068	83577
227	9089	83363
228	9132	83351
229	9173	83319
230	9203	83191
231	9242	83143
232	9278	83066
233	9316	83008
234	9344	82869
235	9387	82859
236	9434	82878
237	9478	82878
238	9502	82701
239	9543	82669
240	9585	82647
241	9624	82600
242	9663	82560
243	9707	82557
244	9749	82529
245	9785	82459
246	9801	82219
247	9851	82264
248	9895	82260
249	9927	82159
250	9961	82074
251	10004	82062
252	10019	81818
253	10044	81663
254	10082	81607
255	10126	81609
256	10167	81574
257	10197	81464
258	10245	81485
259	10262	81270
260	10293	81164
261	10306	80919
262	10348	80897
263	10389	80875
264	10437	80899
265	10482	80904
266	10506	80744
267	10549	80734
268	10570	80552
269	10589	80362
270	10626	80305
271	10640	80076
272	10683	80065
273	10733	80107
274	10768	80039
275	10802	79965
276	10843	79937
277	10889	79946
278	10922	79860
279	10961	79825
280	11012	79866
281	11044	79781
282	11089	79778
283	11128	79739
284	11173	79740
285	11223	79780
286	11237	79561
287	11283	79570
288	11322	79528
289	11369	79544
290	11394	79408
291	11462	79567
292	11477	79361
293	11510	79284
294	11549	79239
295	11613	79372
296	11673	79470
297	11715	79452
298	11752	79395
299	11789	79341
300	11801	79124
301	11847	79129
302	11892	79129
303	11940	79145
304	11979	79105
305	12024	79102
306	12038	78899
307	12081	78885
308	12096	78685
309	12141	78685
310	12176	78617
311	12219	78601
312	12264	78601
313	12297	78523
314	12343	78526
315	12378	78464
316	12421	78444
317	12458	78395
318	12496	78350
319	12533	78296
320	12560	78182
321	12612	78223
